Crop,Min_Optimal_Temp,Max_Optimal_Temp,Min_Absolute_Temp,Max_Absolute_Temp,Min_Optimal_Rainfall,Max_Optimal_Rainfall,Min_Survival_Rainfall,Min_Optimal_pH,Max_Optimal_pH,Min_Tolerated_pH,Max_Tolerated_pH,Min_Optimal_Humidity,Max_Optimal_Humidity,Drainage_Requirement,Soil_Texture_Preference,Nitrogen_Requirement,Phosphorus_Requirement,Potassium_Requirement,Min_Elevation,Max_Elevation,Min_Optimal_Moisture,Max_Optimal_Moisture,Soil_CEC_Preference,Frost_Sensitive,Salinity_Tolerance,Max_Tolerable_Wind
Black Cumin,19.0,19.0,16.0,27.0,390,570,210,6.3,6.7,6.0,7.0,40,60,Well-drained,Sandy,130,110,160,0,1000,224,280,Low,No,Moderate,4.0
Black Gram (Vigna mungo),24.0,24.0,21.0,32.0,650,950,350,6.1,6.5,5.8,6.8,50,70,Well-drained,Sandy,100,80,120,0,1200,240,300,Low,No,Low,5.0
Black Pepper,25.0,24.0,22.0,32.0,1300,1900,700,5.8,6.2,5.5,6.5,65,80,Moderate,Loamy,250,200,250,0,800,320,400,Medium,No,Low,5.5
Blackberry,12.5,16.5,9.5,24.5,715,1045,385,5.8,6.2,5.5,6.5,52,82,Moderate,Loamy,260,210,230,0,1500,296,370,Medium,No,Low,11.0
Blueberry,10.5,14.5,7.5,22.5,845,1235,455,5.3,5.7,5.0,6.0,58,88,Moderate,Loamy,240,195,215,0,1500,288,360,Medium,No,Low,9.8
Bottle Gourd,18.5,22.5,15.5,30.5,592,865,319,6.0,6.4,5.7,6.7,51,83,Moderate,Loamy,255,205,225,0,500,268,335,Medium,No,Low,12.2
Brazil Nut,22.0,26.0,19.0,34.0,780,1140,420,6.2,6.6,5.9,6.9,49,79,Moderate,Clayey,310,260,280,0,500,320,400,High,No,Low,15.0
Breadfruit,25.0,24.0,22.0,32.0,1300,1900,700,6.3,6.7,6.0,7.0,60,80,Moderate,Loamy,200,150,200,0,700,320,400,Medium,No,Moderate,5.5
Broccoli,13.0,12.0,10.0,20.0,390,570,210,6.3,6.7,6.0,7.0,40,60,Moderate,Loamy,180,200,220,0,2000,256,320,Medium,No,Moderate,4.0
Buckwheat,14.0,18.0,11.0,26.0,585,855,315,5.8,6.2,5.5,6.5,48,75,Moderate,Loamy,240,190,215,0,3000,256,320,Medium,No,Low,12.0
Cabbage,13.0,12.0,10.0,20.0,390,570,210,6.3,6.7,6.0,7.0,40,60,Moderate,Loamy,180,200,220,0,2000,256,320,Medium,No,Moderate,4.0
Cacao,24.0,24.0,21.0,32.0,1300,1900,700,5.8,6.2,5.5,6.5,70,85,Moderate,Loamy,220,170,250,0,800,320,400,Medium,No,Low,5.5
Canola,15.0,15.0,12.0,23.0,325,475,175,6.3,6.7,6.0,7.0,35,55,Well-drained,Sandy,120,80,100,0,1000,224,280,Low,No,Moderate,3.5
Carambola (Starfruit),24.0,24.0,21.0,32.0,1105,1615,595,6.1,6.5,5.8,6.8,55,75,Moderate,Loamy,130,100,140,0,500,256,320,Medium,No,Low,4.5
Cardamom,18.0,22.0,15.0,30.0,780,1140,420,5.8,6.2,5.5,6.5,46,76,Moderate,Loamy,270,220,240,700,1500,296,370,Medium,No,Low,12.2
Carrot,11.0,15.0,8.0,23.0,910,1330,490,6.1,6.5,5.8,6.8,50,80,Moderate,Loamy,240,190,220,0,3000,280,350,Medium,No,Low,10.5
Cashew,21.0,25.0,18.0,33.0,780,1140,420,5.8,6.2,5.5,6.5,45,75,Moderate,Loamy,270,220,240,0,500,296,370,Medium,No,Low,11.5
Cassava,24.0,28.0,21.0,36.0,910,1330,490,6.2,6.6,5.9,6.9,42,72,Poor,Clayey,300,250,260,0,1500,360,450,High,No,Low,11.5
Castor,25.0,24.0,22.0,32.0,455,665,245,6.3,6.7,6.0,7.0,40,60,Well-drained,Sandy,100,50,80,0,1000,200,250,Low,No,Moderate,4.8
Cauliflower,13.0,12.0,10.0,20.0,390,570,210,5.8,6.2,5.5,6.5,40,60,Well-drained,Sandy,150,180,200,0,2500,240,300,Low,No,Low,4.0
Celery,16.5,20.5,13.5,28.5,579,846,312,5.9,6.3,5.6,6.6,48,78,Moderate,Loamy,245,195,215,0,1000,260,325,Medium,No,Low,11.8
Chamomile,17.0,17.0,14.0,25.0,390,570,210,6.3,6.7,6.0,7.0,40,60,Well-drained,Sandy,70,50,100,0,1000,224,280,Low,No,Moderate,3.8
Cherry,18.5,22.5,15.5,30.5,605,884,326,6.3,6.7,6.0,7.0,46,76,Moderate,Clayey,285,235,255,300,2000,292,365,High,No,Moderate,13.5
Chestnut,19.0,23.0,16.0,31.0,605,884,326,6.3,6.7,6.0,7.0,47,77,Moderate,Clayey,280,230,250,200,1500,288,360,High,No,Moderate,12.5
Chia,17.5,21.5,14.5,29.5,566,827,305,6.1,6.5,5.8,6.8,50,80,Moderate,Loamy,250,200,220,0,2000,264,330,Medium,No,Low,12.5
Chickpea,19.0,23.0,16.0,31.0,585,855,315,6.1,6.5,5.8,6.8,42,72,Moderate,Loamy,230,190,210,0,1800,272,340,Medium,No,Low,13.5
Chili Pepper,25.0,24.0,22.0,32.0,780,1140,420,6.3,6.7,6.0,7.0,50,70,Moderate,Loamy,180,200,220,0,2500,280,350,Medium,No,Moderate,5.0
Chive,15.0,15.0,12.0,23.0,423,618,228,6.0,6.4,5.7,6.7,40,60,Well-drained,Sandy,100,70,90,0,1000,216,270,Low,No,Low,3.7
Cinnamon,16.5,20.5,13.5,28.5,910,1330,490,6.0,6.4,5.7,6.7,52,82,Moderate,Loamy,250,200,220,0,1000,280,350,Medium,No,Low,11.2
Clove,17.5,21.5,14.5,29.5,845,1235,455,6.1,6.5,5.8,6.8,50,80,Moderate,Loamy,260,210,230,0,900,288,360,Medium,No,Low,11.5
Coconut,22.5,26.5,19.5,34.5,1300,1900,700,6.1,6.5,5.8,6.8,48,78,Poor,Clayey,320,270,290,0,600,400,500,High,No,Low,11.5
Coffee,16.5,20.5,13.5,28.5,1170,1710,630,5.8,6.2,5.5,6.5,55,85,Poor,Clayey,275,230,215,600,2000,336,420,High,No,Low,9.2
Common Bean,21.0,21.0,18.0,29.0,520,760,280,6.3,6.7,6.0,7.0,45,65,Well-drained,Sandy,100,120,150,0,2000,240,300,Low,No,Moderate,4.5
Coriander,15.5,19.5,12.5,27.5,572,836,308,5.8,6.2,5.5,6.5,46,77,Moderate,Loamy,240,190,215,0,1000,256,320,Medium,No,Low,11.5
Corn (Maize),25.0,24.0,22.0,32.0,650,950,350,6.3,6.7,6.0,7.0,50,70,Moderate,Loamy,200,150,180,0,3000,280,350,Medium,No,Moderate,5.0
Cotton,25.0,29.0,22.0,37.0,520,760,280,6.8,7.2,6.5,7.5,30,60,Moderate,Loamy,260,190,240,0,1500,256,320,Medium,No,High,17.0
Cowpea,17.5,21.5,14.5,29.5,566,827,305,6.1,6.5,5.8,6.8,48,78,Moderate,Loamy,260,210,230,0,1000,272,340,Medium,No,Low,12.3
Cranberry,14.5,18.5,11.5,26.5,572,836,308,5.8,6.2,5.5,6.5,48,78,Moderate,Loamy,245,195,215,0,1000,260,325,Medium,No,Low,11.8
Cucumber,21.0,21.0,18.0,29.0,650,950,350,5.8,6.2,5.5,6.5,50,70,Moderate,Loamy,120,150,180,0,1000,256,320,Medium,No,Low,5.0
Cumin,23.0,22.0,20.0,30.0,325,475,175,6.8,7.2,6.5,7.5,45,65,Well-drained,Sandy,100,80,130,0,1200,240,300,Low,No,High,5.0
Curry Leaf,26.0,25.0,23.0,33.0,780,1140,420,5.8,6.2,5.5,6.5,55,75,Moderate,Loamy,180,150,200,0,1000,304,380,Medium,No,Low,5.0
Custard Apple,28.0,27.0,25.0,35.0,455,665,245,6.2,6.6,5.9,6.9,40,60,Well-drained,Loamy,130,110,160,0,1000,240,300,Medium,No,Low,5.2
Date Palm,25.0,27.0,22.0,35.0,130,190,70,6.1,6.5,5.8,6.8,40,60,Moderate,Loamy,250,200,270,0,500,280,350,Medium,No,Low,5.0
Dill,19.0,19.0,16.0,27.0,488,713,263,5.8,6.2,5.5,6.5,48,68,Moderate,Loamy,130,100,160,0,1000,280,350,Medium,No,Low,4.5
Dragonfruit,20.5,24.5,17.5,32.5,975,1425,525,6.2,6.6,5.9,6.9,42,72,Poor,Clayey,300,250,270,0,800,360,450,High,No,Low,11.8
Drumstick (Moringa),27.0,26.0,24.0,34.0,650,950,350,6.1,6.5,5.8,6.8,50,70,Moderate,Loamy,160,140,190,0,500,280,350,Medium,No,Low,5.2
Durian,21.0,25.0,18.0,33.0,1105,1615,595,6.3,6.7,6.0,7.0,45,75,Poor,Clayey,310,260,280,0,600,384,480,High,No,Moderate,12.0
Eggplant,20.5,24.5,17.5,32.5,618,903,333,6.3,6.7,6.0,7.0,50,81,Moderate,Loamy,265,215,235,0,1500,276,345,Medium,No,Moderate,12.5
Fava Bean,21.0,21.0,18.0,29.0,650,950,350,5.8,6.2,5.5,6.5,50,70,Moderate,Loamy,120,150,180,0,2400,256,320,Medium,No,Low,5.0
Fennel,20.0,20.0,17.0,28.0,520,760,280,6.0,6.4,5.7,6.7,50,70,Moderate,Loamy,140,110,170,0,2000,288,360,Medium,No,Low,4.7
Fenugreek,17.5,21.5,14.5,29.5,585,855,315,6.1,6.5,5.8,6.8,50,79,Moderate,Loamy,250,200,220,0,1800,264,330,Medium,No,Low,12.0
Fig,21.0,22.0,18.0,30.0,325,475,175,5.8,6.2,5.5,6.5,40,60,Well-drained,Sandy,120,100,150,0,1700,240,300,Low,No,Low,4.0
Finger Millet,20.0,24.0,17.0,32.0,585,855,315,6.1,6.5,5.8,6.8,43,72,Moderate,Loamy,260,215,230,0,2500,272,340,Medium,No,Low,14.5
Flax,16.0,20.0,13.0,28.0,579,846,312,5.9,6.3,5.6,6.6,44,74,Moderate,Loamy,255,190,215,0,1000,260,325,Medium,No,Low,12.8
Foxtail Millet,19.0,23.0,16.0,31.0,520,760,280,6.3,6.7,6.0,7.0,40,68,Moderate,Loamy,255,210,225,0,2000,264,330,Medium,No,Moderate,14.0
Galangal,26.0,25.0,23.0,33.0,1755,2565,945,6.0,6.4,5.7,6.7,64,84,Poor,Loamy,180,150,200,0,1000,336,420,Medium,No,Low,5.8
Garlic,19.0,19.0,16.0,27.0,390,570,210,5.8,6.2,5.5,6.5,40,60,Well-drained,Sandy,120,150,180,0,2000,240,300,Low,No,Low,4.0
Ginger,25.0,24.0,22.0,32.0,1300,1900,700,5.8,6.2,5.5,6.5,60,80,Poor,Clayey,280,230,280,0,1500,336,420,High,No,Low,5.0
Gooseberry,20.0,24.0,17.0,32.0,611,893,329,6.0,6.4,5.7,6.7,49,79,Moderate,Clayey,275,225,245,0,1800,284,355,High,No,Low,12.5
Grape,19.0,19.0,16.0,27.0,520,760,280,6.3,6.7,6.0,7.0,45,65,Well-drained,Sandy,100,80,120,0,1500,240,300,Low,No,Moderate,4.5
Groundnut (Peanut),22.0,26.0,19.0,34.0,585,855,315,6.6,7.0,6.3,7.3,42,72,Moderate,Loamy,245,185,210,0,1000,248,310,Medium,No,Moderate,15.0
Guava,21.5,25.5,18.5,33.5,845,1235,455,6.1,6.5,5.8,6.8,43,73,Poor,Clayey,300,250,260,0,1500,336,420,High,No,Low,12.5
Hazelnut,18.0,22.0,15.0,30.0,618,903,333,5.9,6.3,5.6,6.6,42,72,Moderate,Loamy,260,210,230,0,1600,288,360,Medium,No,Low,12.8
Hemp,18.5,22.5,15.5,30.5,598,874,322,5.9,6.3,5.6,6.6,44,74,Moderate,Loamy,270,220,240,0,2000,280,350,Medium,No,Low,12.8
Horse Gram,25.0,24.0,22.0,32.0,780,1140,420,6.3,6.7,6.0,7.0,50,70,Well-drained,Sandy,100,120,150,0,2000,240,300,Low,No,Moderate,5.0
Hyacinth Bean,21.5,25.5,18.5,33.5,611,893,329,6.3,6.7,6.0,7.0,42,70,Moderate,Clayey,275,225,245,0,1200,284,355,High,No,Moderate,15.0
Jackfruit,23.0,27.0,20.0,35.0,644,941,347,5.8,6.2,5.5,6.5,48,80,Moderate,Clayey,290,240,260,0,1200,304,380,High,No,Low,12.0
Jute,23.0,27.0,20.0,35.0,975,1425,525,5.8,6.2,5.5,6.5,48,78,Moderate,Loamy,280,230,240,0,1000,320,400,Medium,No,Low,14.0
Kenaf,19.5,23.5,16.5,31.5,598,874,322,6.0,6.4,5.7,6.7,50,80,Moderate,Loamy,260,210,230,0,1500,272,340,Medium,No,Low,13.8
Kidney Bean,21.0,21.0,18.0,29.0,650,950,350,5.8,6.2,5.5,6.5,50,70,Moderate,Loamy,120,150,180,0,2000,256,320,Medium,No,Low,5.0
Kodo Millet,25.0,25.0,22.0,33.0,520,760,280,6.3,6.7,6.0,7.0,50,70,Well-drained,Sandy,80,60,100,0,1800,200,250,Low,No,Moderate,5.0
Kohlrabi,14.0,14.0,11.0,22.0,442,646,238,6.2,6.6,5.9,6.9,41,61,Well-drained,Sandy,130,90,110,0,1500,232,290,Low,No,Low,3.7
Lavender,16.0,20.0,13.0,28.0,546,798,294,5.8,6.2,5.5,6.5,38,68,Moderate,Loamy,250,200,220,0,1500,264,330,Medium,No,Low,12.2
Leek,16.0,16.0,13.0,24.0,436,637,235,5.9,6.3,5.6,6.6,42,62,Well-drained,Sandy,110,80,100,0,1500,224,280,Low,No,Low,3.8
Lemon Grass,25.0,24.0,22.0,32.0,1625,2375,875,6.1,6.5,5.8,6.8,62,82,Poor,Loamy,170,140,200,0,1000,328,410,Medium,No,Low,5.5
Lentil,17.5,21.5,14.5,29.5,553,808,298,6.0,6.4,5.7,6.7,45,75,Moderate,Loamy,240,195,215,0,2000,264,330,Medium,No,Low,12.0
Lettuce,13.0,12.0,10.0,20.0,325,475,175,6.3,6.7,6.0,7.0,40,60,Well-drained,Sandy,120,150,180,0,2500,224,280,Low,No,Moderate,4.0
Lima Bean,19.0,23.0,16.0,31.0,579,846,312,5.8,6.2,5.5,6.5,43,72,Moderate,Loamy,265,215,235,0,700,276,345,Medium,No,Low,13.8
Longan,21.0,25.0,18.0,33.0,663,969,357,6.0,6.4,5.7,6.7,50,81,Moderate,Clayey,285,235,255,0,600,300,375,High,No,Low,12.0
Loquat,20.5,24.5,17.5,32.5,631,922,340,5.8,6.2,5.5,6.5,49,79,Moderate,Loamy,275,225,245,0,1000,292,365,Medium,No,Low,11.8
Lotus,24.0,24.0,21.0,32.0,975,1425,525,6.1,6.5,5.8,6.8,55,75,Poor,Loamy,110,80,130,0,500,360,450,Medium,No,Low,4.5
Luffa Gourd,25.0,24.0,22.0,32.0,975,1425,525,6.3,6.7,6.0,7.0,62,82,Poor,Loamy,130,110,160,0,500,336,420,Medium,No,Moderate,5.0
Lychee,20.5,24.5,17.5,32.5,650,950,350,5.8,6.2,5.5,6.5,44,74,Moderate,Loamy,290,240,260,0,700,320,400,Medium,No,Low,12.8
Macadamia Nut,23.0,27.0,20.0,35.0,748,1093,403,6.1,6.5,5.8,6.8,50,80,Poor,Clayey,315,265,285,0,700,328,410,High,No,Low,14.8
Maize (Corn - use this one),21.0,25.0,18.0,33.0,975,1425,525,6.3,6.7,6.0,7.0,45,75,Moderate,Loamy,280,220,230,0,3000,320,400,Medium,No,Moderate,14.0
Malabar Spinach,24.5,23.5,21.5,31.5,845,1235,455,5.8,6.2,5.5,6.5,59,79,Poor,Loamy,130,110,160,0,1000,336,420,Medium,No,Low,5.3
Mango,23.0,27.0,20.0,35.0,845,1235,455,6.6,7.0,6.3,7.3,45,75,Moderate,Loamy,260,210,230,0,600,288,360,Medium,No,Moderate,12.8
Mangosteen,22.5,26.5,19.5,34.5,702,1026,378,6.1,6.5,5.8,6.8,53,85,Moderate,Clayey,295,245,265,0,700,312,390,High,No,Low,11.5
Marjoram,25.0,25.0,22.0,33.0,715,1045,385,5.8,6.2,5.5,6.5,60,80,Moderate,Sandy,110,90,120,0,1500,264,330,Low,No,Low,4.8
Millet,23.5,27.5,20.5,35.5,455,665,245,6.2,6.6,5.9,6.9,32,62,Moderate,Loamy,235,175,205,0,2000,264,330,Medium,No,Low,16.5
Mint,19.0,19.0,16.0,27.0,455,665,245,5.8,6.2,5.5,6.5,45,65,Well-drained,Sandy,80,60,100,0,2000,224,280,Low,No,Low,4.0
Moringa,26.0,25.0,23.0,33.0,715,1045,385,6.0,6.4,5.7,6.7,55,75,Moderate,Loamy,160,130,180,0,1000,320,400,Medium,No,Low,5.0
Moth Bean,25.0,24.0,22.0,32.0,780,1140,420,5.8,6.2,5.5,6.5,50,70,Well-drained,Sandy,100,120,150,0,1000,240,300,Low,No,Low,5.0
Mulberry,17.0,21.0,14.0,29.0,592,865,319,6.3,6.7,6.0,7.0,40,70,Moderate,Loamy,265,215,235,0,1500,276,345,Medium,No,Moderate,12.8
Mung Bean,19.5,23.5,16.5,31.5,566,827,305,5.8,6.2,5.5,6.5,45,75,Moderate,Loamy,250,200,220,0,1200,264,330,Medium,No,Low,13.0
Mushroom,13.0,17.0,10.0,25.0,910,1330,490,5.6,6.0,5.3,6.3,55,85,Moderate,Loamy,230,180,200,0,4500,264,330,Medium,No,Low,11.0
Muskmelon,21.5,25.5,18.5,33.5,611,893,329,6.0,6.4,5.7,6.7,42,72,Moderate,Loamy,270,220,240,0,1000,280,350,Medium,No,Low,12.8
Mustard,21.0,25.0,18.0,33.0,618,903,333,6.2,6.6,5.9,6.9,40,70,Moderate,Loamy,260,210,225,0,1000,256,320,Medium,No,Low,14.0
Nutmeg,18.0,22.0,15.0,30.0,780,1140,420,5.9,6.3,5.6,6.6,45,75,Moderate,Loamy,270,220,240,0,1300,296,370,Medium,No,Low,12.0
Oats,13.0,17.0,10.0,25.0,715,1045,385,6.1,6.5,5.8,6.8,55,85,Moderate,Loamy,250,190,215,0,3000,272,340,Medium,No,Low,11.0
Oil Palm,25.0,25.0,22.0,33.0,1625,2375,875,5.3,5.7,5.0,6.0,60,80,Poor,Clayey,280,220,280,0,500,336,420,High,No,Low,6.5
Okra,21.5,25.5,18.5,33.5,624,912,336,6.2,6.6,5.9,6.9,49,79,Moderate,Clayey,275,225,245,0,300,284,355,High,No,Low,13.2
Olive,20.5,24.5,17.5,32.5,637,931,343,6.5,6.9,6.2,7.2,38,68,Moderate,Clayey,275,225,245,0,1000,284,355,High,No,Moderate,14.5
Onion,19.0,19.0,16.0,27.0,390,570,210,6.3,6.7,6.0,7.0,40,60,Moderate,Loamy,150,180,200,0,2000,256,320,Medium,No,Moderate,4.0
Orange,15.5,19.5,12.5,27.5,715,1045,385,6.2,6.6,5.9,6.9,40,70,Moderate,Loamy,250,200,225,0,1000,272,340,Medium,No,Low,13.0
Oregano,20.0,21.0,17.0,29.0,488,713,263,6.3,6.7,6.0,7.0,48,68,Well-drained,Sandy,70,50,90,0,1500,200,250,Low,No,Moderate,4.3
Papaya,23.5,27.5,20.5,35.5,1170,1710,630,6.0,6.4,5.7,6.7,45,75,Poor,Clayey,320,270,280,0,1000,392,490,High,No,Low,11.0
Passion Fruit,22.5,26.5,19.5,34.5,644,941,347,5.8,6.2,5.5,6.5,54,84,Moderate,Clayey,300,250,270,0,1000,304,380,High,No,Low,14.0
Pea,15.5,19.5,12.5,27.5,650,950,350,5.8,6.2,5.5,6.5,50,80,Moderate,Loamy,250,200,220,0,2000,280,350,Medium,No,Low,11.5
Peach,19.0,23.0,16.0,31.0,592,865,319,6.0,6.4,5.7,6.7,42,72,Moderate,Clayey,275,225,245,0,1000,284,355,High,No,Low,13.0
Peanut (use Groundnut),20.0,24.0,17.0,32.0,579,846,312,6.0,6.4,5.7,6.7,52,82,Moderate,Loamy,265,215,235,0,1000,276,345,Medium,No,Low,13.2
Pear,17.5,21.5,14.5,29.5,585,855,315,5.9,6.3,5.6,6.6,48,78,Moderate,Loamy,260,210,230,300,2000,272,340,Medium,No,Low,12.5
Pearl Millet,27.0,27.0,24.0,35.0,553,808,298,6.2,6.6,5.9,6.9,55,75,Well-drained,Sandy,100,80,120,0,2700,224,280,Low,No,Low,5.2
Pecan,19.0,23.0,16.0,31.0,637,931,343,6.4,6.8,6.1,7.1,44,74,Moderate,Clayey,290,240,260,0,500,296,370,High,No,Moderate,12.8
Persimmon,19.0,23.0,16.0,31.0,618,903,333,6.2,6.6,5.9,6.9,46,77,Moderate,Loamy,260,210,230,0,500,272,340,Medium,No,Low,12.5
Pigeon Pea,20.0,24.0,17.0,32.0,592,865,319,6.0,6.4,5.7,6.7,39,67,Moderate,Loamy,265,215,235,0,1500,276,345,Medium,No,Low,14.0
Pineapple,22.0,26.0,19.0,34.0,1040,1520,560,5.6,6.0,5.3,6.3,50,80,Poor,Clayey,310,260,270,0,1300,376,470,High,No,Low,10.8
Pistachio,19.5,23.5,16.5,31.5,715,1045,385,6.0,6.4,5.7,6.7,38,68,Moderate,Loamy,280,230,250,450,1800,304,380,Medium,No,Low,13.2
Plantain,23.0,27.0,20.0,35.0,683,998,368,6.1,6.5,5.8,6.8,50,82,Poor,Clayey,310,260,280,0,2000,336,420,High,No,Low,12.5
Plum,20.0,24.0,17.0,32.0,598,874,322,6.1,6.5,5.8,6.8,40,70,Moderate,Clayey,280,230,250,200,2000,288,360,High,No,Low,12.8
Pomegranate,19.0,23.0,16.0,31.0,585,855,315,6.2,6.6,5.9,6.9,38,68,Moderate,Loamy,280,230,250,0,2000,304,380,Medium,No,Low,13.2
Pomelo,23.0,24.0,20.0,32.0,650,950,350,6.3,6.7,6.0,7.0,45,65,Well-drained,Loamy,120,80,120,0,200,240,300,Medium,No,Moderate,4.5
Potato,13.5,17.5,10.5,25.5,1040,1520,560,5.5,5.9,5.2,6.2,58,88,Poor,Clayey,310,260,250,0,4000,376,470,High,No,Low,11.0
Proso Millet,18.0,22.0,15.0,30.0,553,808,298,6.2,6.6,5.9,6.9,42,70,Moderate,Loamy,250,205,220,0,2500,260,325,Medium,No,Low,13.5
Pumpkin,20.0,24.0,17.0,32.0,605,884,326,6.1,6.5,5.8,6.8,44,74,Moderate,Loamy,265,215,235,0,2000,276,345,Medium,No,Low,13.0
Quinoa,18.0,22.0,15.0,30.0,533,779,287,5.8,6.2,5.5,6.5,38,68,Well-drained,Loamy,260,200,220,2000,4000,240,300,Medium,No,Low,13.2
Radish,13.0,12.0,10.0,20.0,260,380,140,5.8,6.2,5.5,6.5,30,50,Well-drained,Sandy,50,80,100,0,1000,200,250,Low,No,Low,3.0
Rambutan,24.0,28.0,21.0,36.0,683,998,368,5.9,6.3,5.6,6.6,50,82,Poor,Clayey,310,260,280,0,500,336,420,High,No,Low,11.8
Rapeseed (use Canola),18.5,22.5,15.5,30.5,598,874,322,6.0,6.4,5.7,6.7,43,73,Moderate,Loamy,265,215,235,0,1000,276,345,Medium,No,Low,12.8
Raspberry,13.0,17.0,10.0,25.0,748,1093,403,5.7,6.1,5.4,6.4,53,83,Moderate,Loamy,255,205,225,0,1500,292,365,Medium,No,Low,10.8
