Disease_Name,Crop_Host(s),Min_Optimal_Temp,Max_Optimal_Temp,Min_Optimal_Humidity,Max_Optimal_Humidity,Min_Rainfall_mm,Max_Rainfall_mm,Min_Soil_Moisture,Max_Soil_Moisture,Soil_pH_Preference,Other_Factors
Fusarium Wilt (Fusarium oxysporum f.sp. niveum/related),Ash Gourd;Watermelon;Melon,24,30,70,90,10,25,40,80,5.0-6.5,"Warm soil temperatures; Soilborne; Acidic soil can favor; Plant stress; Persists in soil"
Asparagus Rust (Puccinia asparagi),Asparagus,21,30,85,100,10,25,40,70,6.0-7.5,"Moderate temperatures; High humidity/dew required for spore germination (long periods); Overwinters on debris"
Purple Spot (Stemphylium vesicarium),Asparagus,18,25,90,100,15,35,50,80,6.0-7.5,"Cool to moderate temperatures; High humidity; Long periods of leaf wetness (12+ hours); Rain splash; Overwinters on debris"
Phytophthora Asparagi (Spear and Root Rot),Asparagus,20,28,90,100,20,40,60,90,5.5-7.0,"Warm, wet conditions; Poorly drained soils; Waterlogging; Soilborne oospores; Rain splash"
Anthracnose (Colletotrichum gloeosporioides),Avocado;Mango;Papaya;Citrus,24,30,85,98,20,40,50,80,5.5-7.0,"High humidity; Frequent rain; Leaf wetness duration > 12 hours; Affects flowers, fruit, leaves"
Phytophthora Root Rot (Phytophthora cinnamomi),Avocado;Pineapple;Many Woody Plants,21,27,80,100,15,35,60,95,5.0-6.5,"Poor drainage; Waterlogged soils; Moderate soil temperatures; Soilborne; Infected nursery stock"
Avocado Sunblotch Viroid (ASBVd),Avocado,20,35,50,80,5,25,30,60,5.5-7.5,"Spread via infected budwood, root grafts, contaminated tools, possibly pollen/seed; No known vector"
Scab (Sphaceloma persea),Avocado,20,26,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity/rainfall during early fruit development; Leaf wetness"
Cercospora Spot / Blotch (Pseudocercospora purpurea),Avocado,22,28,80,95,15,30,40,70,5.5-7.0,"Warm, humid conditions; Rain splash; Affects leaves and fruit (cosmetic damage)"
Gummosis (Phytophthora spp.; Lasiodiplodia theobromae),Bael;Citrus;Mango,25,32,80,95,15,35,50,85,5.5-7.0,"Poor drainage; Wounds on trunk/branches; Tree stress; High humidity; Soilborne pathogens"
Sooty Mold (Capnodium spp. / Meliola spp.),Bael;Mango;Citrus;Guava (Associated with insects),20,30,70,90,10,25,35,65,5.5-8.0,"Presence of honeydew-producing insects (aphids, scale, mealybugs); High humidity hinders washing off"
Dieback (Lasiodiplodia theobromae; Phomopsis spp.),Bael;Mango;Citrus,28,35,75,95,10,30,40,70,5.5-7.0,"Plant stress (drought, waterlogging, nutrient deficiency); Wounds; High temperatures; High humidity"
Cercospora Leaf Spot (Cercospora canescens/spp.),Bambara Groundnut;Cowpea;Soybean;Groundnut,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; High humidity; Rain splash; Dew; Infected seed or debris"
Rust (Puccinia spp.),Bambara Groundnut;Legumes,20,28,85,95,10,30,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew for infection; Wind dispersal of spores"
Bacterial Blight (Xanthomonas campestris pv. vignicola),Bambara Groundnut;Cowpea,25,32,85,98,20,40,40,75,6.0-7.5,"Warm, humid weather; Rain splash; Wind-driven rain; Infected seed"
Bamboo Blight (Sarocladium oryzae),Bamboo;Rice,25,32,90,100,20,45,50,85,5.5-7.0,"High humidity; Warm temperatures; Sheath infection; Can be associated with insect damage"
Bamboo Rust (Puccinia spp.; Dasturella spp.),Bamboo,18,28,85,95,10,30,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew for infection; Affects leaves and culms"
Root Rot (Pythium spp.; Fusarium spp.),Bamboo,20,30,75,95,15,35,50,85,5.5-7.0,"Poor drainage; Waterlogged soil; Overwatering; Stressed plants"
Panama Disease / Fusarium Wilt (Fusarium oxysporum f.sp. cubense),Banana;Plantain,24,30,70,90,10,30,40,80,5.0-6.5,"Warm soil temperatures; Soilborne; Acidic, poorly drained soils; Spreads via soil, water, infected rhizomes"
Black Sigatoka (Mycosphaerella fijiensis),Banana;Plantain,25,28,92,100,20,40,50,80,5.5-7.5,"High humidity; Frequent rainfall/dew; Leaf wetness essential; Wind dispersal; More aggressive than Yellow Sigatoka"
Yellow Sigatoka (Mycosphaerella musicola),Banana;Plantain,21,27,90,100,15,35,50,80,5.5-7.5,"High humidity; Frequent rainfall/dew; Leaf wetness essential; Wind dispersal"
Banana Bunchy Top Virus (BBTV),Banana;Plantain,20,30,60,85,10,30,35,70,5.5-7.5,"Vector presence (Banana aphid - Pentalonia nigronervosa); Spread via infected planting material"
Moko Disease / Bacterial Wilt (Ralstonia solanacearum Race 2),Banana;Plantain;Heliconia,28,35,80,95,15,35,50,85,5.5-7.0,"Warm temperatures; High soil moisture; Spread via soil, water, insects, tools, infected planting material"
Powdery Mildew (Blumeria graminis f.sp. hordei),Barley;Wheat;Rye,15,22,70,90,5,20,30,60,6.0-7.5,"Cool to moderate temperatures; High humidity (but not free water); Dense stands; High nitrogen fertilization"
Barley Yellow Dwarf Virus (BYDV),Barley;Wheat;Oats;Maize;Grasses,15,25,50,80,5,25,30,65,6.0-7.5,"Aphid vector presence; Cool, moist conditions favor aphid populations; Temperature affects virus replication"
Net Blotch (Pyrenophora teres),Barley,15,25,85,100,10,30,40,75,5.5-7.0,"Cool, wet weather; Leaf wetness duration (6+ hours); Overwinters on seed, stubble; Rain splash"
Spot Blotch (Cochliobolus sativus / Bipolaris sorokiniana),Barley;Wheat,20,30,85,95,10,30,40,75,5.5-7.0,"Warm, humid conditions; Leaf wetness; Overwinters on seed, stubble; Common root rot phase too"
Fusarium Head Blight / Scab (Fusarium graminearum/spp.),Barley;Wheat;Oats;Maize,25,30,85,95,15,35,45,75,5.5-7.5,"Warm, wet, humid conditions during flowering; Rain splash; Wind dispersal; Overwinters on crop residue"
Blast (Pyricularia grisea/oryzae),Barnyard Millet;Rice;Finger Millet;Foxtail Millet,25,30,90,100,20,40,50,80,5.0-6.5,"High humidity; Leaf wetness (dew, rain); High nitrogen levels; Wind dispersal"
Leaf Spot / Blight (Helminthosporium / Bipolaris spp.),Barnyard Millet;Maize;Sorghum,20,32,85,95,10,30,40,75,5.5-7.0,"Warm, humid conditions; Leaf wetness; Overwinters on seed or debris"
Downy Mildew (Peronospora belbahrii),Basil,15,23,85,100,10,25,50,80,6.0-7.0,"High humidity (especially >85%); Leaf wetness; Cool to moderate temperatures; Spores spread by air, water, seed"
Fusarium Wilt (Fusarium oxysporum f.sp. basilicum),Basil,24,32,70,90,10,25,40,80,5.5-7.0,"Warm soil temperatures; Soilborne fungus; Persists in soil; Spread via infected seed, soil, water"
Gray Mold (Botrytis cinerea),Basil;Lettuce;Tomato;Strawberry (Wide Host Range),18,24,90,100,15,35,50,80,5.5-7.0,"Cool, moist conditions; High humidity; Poor air circulation; Senescent tissues; Wounds"
Bacterial Leaf Spot (Pseudomonas cichorii),Basil;Lettuce;Celery,20,28,85,95,15,35,45,75,6.0-7.0,"Moderate temperatures; High humidity; Water splash (rain, irrigation); Infected seed or transplants"
Cercospora Leaf Spot (Cercospora beticola),Beetroot;Sugar Beet;Swiss Chard,25,30,90,100,15,30,50,80,6.0-7.5,"Warm temperatures; High humidity; Frequent rain/dew; Leaf wetness duration (8+ hours); Overwinters on debris/seed"
Powdery Mildew (Erysiphe betae),Beetroot;Sugar Beet,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; Moderate to high humidity (not free water); Poor air circulation"
Downy Mildew (Peronospora farinosa f.sp. betae),Beetroot;Sugar Beet;Spinach,10,20,90,100,10,25,50,80,6.0-7.0,"Cool, moist conditions; High humidity; Leaf wetness essential for infection; Wind dispersal; Seedborne"
Root Rot (Rhizoctonia solani; Pythium spp.; Aphanomyces cochlioides),Beetroot;Sugar Beet,15,28,80,95,15,35,55,90,5.5-7.0,"Variable temp optima (Aphanomyces cooler, Rhizoctonia warmer); Poor drainage; Soil compaction; High soil moisture"
Beet Curly Top Virus (BCTV),Beetroot;Sugar Beet;Tomato;Bean;Pepper,25,35,50,80,5,25,30,65,6.0-8.0,"Vector presence (Beet Leafhopper - Circulifer tenellus); Warm temperatures favor vector activity"
Bacterial Spot (Xanthomonas campestris pv. vesicatoria),Bell Pepper;Tomato,24,30,85,95,15,35,45,75,6.0-7.5,"Warm, humid conditions; Rain splash; Overhead irrigation; Infected seed/transplants; Wounds"
Phytophthora Blight (Phytophthora capsici),Bell Pepper;Squash;Eggplant;Tomato,24,29,90,100,20,40,60,90,5.5-7.0,"Warm, wet conditions; Poorly drained soils; Waterlogged soil; Affects roots, stems, leaves, fruit; Soilborne"
Anthracnose (Colletotrichum spp.),Bell Pepper;Tomato;Mango;Avocado,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid weather; Rain; High humidity; Fruit infection often occurs when green, develops upon ripening"
Powdery Mildew (Leveillula taurica),Bell Pepper;Tomato;Artichoke;Cotton,20,30,50,80,5,20,30,60,6.0-7.5,"Warm, dry conditions often favor this species (internal growth); Can tolerate lower humidity than Erysiphe spp."
Foot Rot and Leaf Rot (Phytophthora nicotianae var. parasitica),Betel Vine,25,30,95,100,30,60,60,90,5.0-6.5,"High rainfall; High humidity; Waterlogged soil; Poor drainage; Low temperature can predispose"
Anthracnose (Colletotrichum capsici/gloeosporioides),Betel Vine,25,30,85,98,20,40,50,80,5.5-7.0,"High humidity; Rain splash; Leaf wetness; Wounds; Often severe in rainy season"
Bacterial Leaf Spot (Xanthomonas campestris pv. betlicola),Betel Vine,28,32,85,95,15,35,45,75,6.0-7.5,"Warm, humid conditions; Rain splash; Wind-driven rain; Overhead irrigation; Injuries"
Sclerotium Rot / Wilt (Sclerotium rolfsii),Betel Vine;Tomato;Peanut;Many Vegetables (Wide Host Range),25,35,85,95,15,30,50,85,4.5-6.5,"High temperature; High soil moisture alternating with dry periods; Acidic soil often favors; Soilborne sclerotia"
Leaf Blight (Colletotrichum piperis),Betel Vine;Black Pepper,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Leaf wetness; Infection favored by high humidity"
Powdery Mildew (Podosphaera xanthii / Golovinomyces cichoracearum),Bitter Gourd;Cucumber;Melon;Squash,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate to high humidity (not free water); Poor air circulation; Reduced light"
Downy Mildew (Pseudoperonospora cubensis),Bitter Gourd;Cucumber;Melon;Squash,15,23,85,100,10,30,50,80,6.0-7.0,"High humidity; Leaf wetness essential (dew, rain); Cool nights, warm days; Wind dispersal"
Anthracnose (Colletotrichum lagenarium/orbiculare),Bitter Gourd;Cucumber;Watermelon;Melon,22,28,90,100,15,35,50,80,5.5-6.5,"Warm, humid, rainy weather; Rain splash; Infected seed or debris; Leaf wetness duration"
Gummy Stem Blight (Didymella bryoniae),Bitter Gourd;Cucumber;Melon;Squash;Watermelon,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity; Leaf wetness; Rain splash; Infected seed/debris; Wounds"
Fusarium Wilt (Fusarium oxysporum f.sp. nigella),Black Cumin (Nigella sativa),24,30,70,90,10,25,40,80,5.5-7.0,"Warm soil temperatures; Soilborne; Poor drainage can exacerbate; Persists in soil"
Alternaria Blight (Alternaria spp.),Black Cumin (Nigella sativa);Carrot;Parsley,20,30,85,98,15,35,40,70,5.5-7.0,"Moderate to warm temperatures; High humidity; Leaf wetness duration > 8 hours; Plant stress; Infected debris"
Damping-off (Pythium spp.; Rhizoctonia solani),Black Cumin (Nigella sativa);Many Seedlings,18,25,85,100,10,30,60,90,5.5-7.0,"Cool, wet soil; Poor drainage; High soil moisture; Infected soil/media; Overcrowding"
Powdery Mildew (Erysiphe spp.),Black Cumin (Nigella sativa);Related Apiaceae,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation"
Yellow Mosaic Virus (MYMV - Mungbean Yellow Mosaic Virus),Black Gram (Vigna mungo);Mung Bean;Soybean,25,32,60,85,10,30,35,70,6.0-7.5,"Vector presence (Whitefly - Bemisia tabaci); Warm temperatures favor vector; Infected source plants"
Cercospora Leaf Spot (Cercospora canescens/cruenta),Black Gram (Vigna mungo);Cowpea;Mung Bean,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; High humidity; Rain splash; Dew; Infected seed or debris"
Powdery Mildew (Erysiphe polygoni),Black Gram (Vigna mungo);Mung Bean;Pea;Soybean,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation; Dense canopy"
Anthracnose (Colletotrichum lindemuthianum/truncatum),Black Gram (Vigna mungo);Common Bean;Soybean;Mung Bean,18,26,90,100,15,30,40,75,5.5-7.0,"Cool to moderate temperatures; Wet conditions; Rain splash; Infected seed; Dense canopy; High humidity"
Bacterial Leaf Blight (Xanthomonas axonopodis pv. vignaeradiatae),Black Gram (Vigna mungo);Mung Bean,25,32,85,98,20,40,40,75,6.0-7.5,"Warm, humid weather; Rain splash; Wind-driven rain; Infected seed"
Foot Rot / Quick Wilt (Phytophthora capsici),Black Pepper,24,29,95,100,30,60,60,90,5.0-6.5,"High rainfall (monsoon); High humidity; Waterlogged soil; Poor drainage; Soilborne; Spreads rapidly"
Anthracnose / Leaf Blight (Colletotrichum gloeosporioides/piperis),Black Pepper;Betel Vine,24,30,85,98,20,40,50,80,5.5-7.0,"High humidity; Frequent rain; Leaf wetness; Affects leaves, spikes, berries"
Little Leaf Disease (Phytoplasma),Black Pepper,25,32,70,90,15,35,40,75,5.5-7.0,"Vector presence (Leafhoppers); Warm temperatures; Plant stress"
Orange Rust (Gymnoconia nitens; Arthuriomyces peckianus),Blackberry;Raspberry (specific races),18,26,90,100,15,30,45,75,5.5-7.0,"Cool, wet spring conditions; High humidity; Requires leaf wetness for infection; Systemic (G. nitens)"
Anthracnose (Elsinoe veneta),Blackberry;Raspberry,20,28,85,95,15,35,40,70,5.5-7.0,"Moderate temperatures; Wet weather; Rain splash; Overwinters on canes; Affects canes, leaves, fruit"
Cane Blight (Leptosphaeria coniothyrium / Paraconiothyrium fuckelii),Blackberry;Raspberry;Rose,20,30,80,95,10,30,40,70,5.5-7.5,"Requires wounds for entry (pruning, insect damage); Rain splash; Stress conditions"
Gray Mold (Botrytis cinerea),Blackberry;Raspberry;Strawberry;Grape (Wide Host Range),18,24,90,100,15,35,50,80,5.5-7.0,"Cool, moist conditions; High humidity; Poor air circulation; Affects flowers and ripening fruit"
Septoria Leaf Spot (Septoria rubi),Blackberry;Raspberry,20,25,85,95,10,30,40,70,6.0-7.0,"Moderate temperatures; Wet weather; Rain splash; Overwinters on infected leaves and canes"
Mummy Berry (Monilinia vaccinii-corymbosi),Blueberry,13,20,90,100,15,35,50,80,4.0-5.5,"Cool, wet spring during bud break; Requires leaf/flower wetness; Overwinters as mummified fruit (sclerotia)"
Anthracnose (Colletotrichum acutatum),Blueberry;Strawberry;Almond,20,30,90,100,25,50,45,75,5.0-6.5,"Warm, wet weather; Rain splash; High humidity (>12 hours); Affects blossoms, twigs, ripening fruit"
Phomopsis Twig Blight & Canker (Phomopsis vaccinii),Blueberry,22,28,85,95,15,30,40,70,4.5-6.0,"Moderate to warm temperatures; Wet weather; Plant stress (winter injury, drought); Wounds favor infection"
Botrytis Blight / Gray Mold (Botrytis cinerea),Blueberry;Strawberry;Grape;Raspberry (Wide Host Range),18,24,90,100,15,35,50,80,4.5-6.0,"Cool, moist conditions; High humidity; Poor air circulation; Affects blossoms, twigs, fruit"
Stem Canker / Dieback (Botryosphaeria dothidea/spp.),Blueberry;Apple;Grape;Many Woody Plants,25,32,80,95,10,30,40,70,4.5-6.5,"High temperatures; Plant stress (drought, heat, injury); Wounds provide entry; Overwinters in cankers"
Powdery Mildew (Podosphaera xanthii / Golovinomyces cichoracearum),Bottle Gourd;Cucumber;Melon;Squash,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate to high humidity (not free water); Poor air circulation; Reduced light"
Downy Mildew (Pseudoperonospora cubensis),Bottle Gourd;Cucumber;Melon;Squash,15,23,85,100,10,30,50,80,6.0-7.0,"High humidity; Leaf wetness essential (dew, rain); Cool nights, warm days; Wind dispersal"
Anthracnose (Colletotrichum lagenarium/orbiculare),Bottle Gourd;Cucumber;Watermelon;Melon,22,28,90,100,15,35,50,80,5.5-6.5,"Warm, humid, rainy weather; Rain splash; Infected seed or debris; Leaf wetness duration"
Gummy Stem Blight (Didymella bryoniae),Bottle Gourd;Cucumber;Melon;Squash;Watermelon,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity; Leaf wetness; Rain splash; Infected seed/debris; Wounds"
Leaf Blight (Various Fungi),Brazil Nut,24,30,85,95,20,40,50,80,4.5-6.0,"High rainfall; High humidity; Poor air circulation (dense plantations)"
